sample,condition,status,mxl_generated,failed_stage,gt_notes,pred_notes,gt_rests,pred_rests,pitch_accuracy,duration_accuracy,accidental_accuracy,rest_accuracy,key_signature_accuracy,time_signature_accuracy,gt_key,pred_key,gt_time,pred_time
M01,original,SUCCESS,True,,8,8,28,28,100.0,100.0,,46.43,100.0,100.0,0,,4/4,4/4
M01,small,SUCCESS,True,,8,8,28,28,100.0,100.0,,46.43,100.0,100.0,0,,4/4,4/4
M01,tilt,SUCCESS,True,,8,4,28,15,50.0,50.0,,3.57,100.0,100.0,0,,4/4,4/4
M01,lowq,SUCCESS,True,,8,8,28,28,100.0,100.0,,46.43,100.0,100.0,0,,4/4,4/4
M02,original,SUCCESS,True,,8,8,28,28,100.0,100.0,,46.43,100.0,100.0,0,,4/4,4/4
M02,small,SUCCESS,True,,8,8,28,28,100.0,100.0,,46.43,100.0,100.0,0,,4/4,4/4
M02,tilt,SUCCESS,True,,8,3,28,15,37.5,37.5,,3.57,100.0,100.0,0,,4/4,4/4
M02,lowq,SUCCESS,True,,8,8,28,28,100.0,100.0,,46.43,100.0,100.0,0,,4/4,4/4
M03,original,SUCCESS,True,,8,8,30,30,100.0,100.0,100.0,50.0,100.0,100.0,0,,4/4,4/4
M03,small,SUCCESS,True,,8,9,30,30,87.5,87.5,87.5,50.0,100.0,100.0,0,,4/4,4/4
M03,tilt,SUCCESS,True,,8,4,30,16,50.0,50.0,50.0,6.67,100.0,100.0,0,,4/4,4/4
M03,lowq,SUCCESS,True,,8,8,30,30,100.0,100.0,100.0,50.0,100.0,100.0,0,,4/4,4/4
M04,original,SUCCESS,True,,16,16,60,60,100.0,100.0,,100.0,100.0,100.0,0,,4/4,4/4
M04,small,SUCCESS,True,,16,16,60,60,100.0,100.0,,100.0,100.0,100.0,0,,4/4,4/4
M04,tilt,OMR_FAILED,False,GRID,,,,,,,,,,,,,,
M04,lowq,SUCCESS,True,,16,16,60,60,100.0,100.0,,100.0,100.0,100.0,0,,4/4,4/4
M05,original,SUCCESS,True,,25,25,64,64,96.0,92.0,,100.0,100.0,100.0,0,,4/4,4/4
M05,small,SUCCESS,True,,25,25,64,64,100.0,100.0,,100.0,100.0,100.0,0,,4/4,4/4
M05,tilt,OMR_FAILED,False,GRID,,,,,,,,,,,,,,
M05,lowq,SUCCESS,True,,25,25,64,64,100.0,100.0,,100.0,100.0,100.0,0,,4/4,4/4
